match,team,jersey,player,top_speed_kmh
ALG V AUT,Algeria,2,Aissa MANDI,28.4
ALG V AUT,Algeria,5,Zineddine BELAID,24.2
ALG V AUT,Algeria,7,Riyad MAHREZ,31.5
ALG V AUT,Algeria,8,Houssem AOUAR,28.6
ALG V AUT,Algeria,9,Amine GOUIRI,29.5
ALG V AUT,Algeria,10,Fares CHAIBI,31.7
ALG V AUT,Algeria,13,Jaouen HADJAM,32.2
ALG V AUT,Algeria,15,Rayan AIT,27.7
ALG V AUT,Algeria,16,Oussama BENBOT,18.2
ALG V AUT,Algeria,17,Rafik BELGHALI,30.8
ALG V AUT,Algeria,19,Nabil BENTALEB,28.7
ALG V AUT,Algeria,21,Ramy BENSEBAINI,30.1
ALG V AUT,Algeria,22,Ibrahim MAZA,29.9
ALG V AUT,Algeria,25,Fares GHEDJEMIS,26.1
ALG V AUT,Algeria,26,Samir CHERGUI,27.9
ALG V AUT,Austria,1,Alexander SCHLAGER,26.7
ALG V AUT,Austria,3,Kevin DANSO,26.4
ALG V AUT,Austria,4,Xaver SCHLAGER,28.6
ALG V AUT,Austria,5,Stefan POSCH,28.6
ALG V AUT,Austria,6,Nicolas SEIWALD,29.5
ALG V AUT,Austria,7,Marko ARNAUTOVIC,30.0
ALG V AUT,Austria,8,David ALABA,23.7
ALG V AUT,Austria,9,Marcel SABITZER,31.0
ALG V AUT,Austria,10,Florian GRILLITSCH,26.7
ALG V AUT,Austria,11,Michael GREGORITSCH,25.0
ALG V AUT,Austria,14,Sasa KALAJDZIC,22.1
ALG V AUT,Austria,15,Philipp LIENHART,30.4
ALG V AUT,Austria,16,Phillip MWENE,31.7
ALG V AUT,Austria,18,Romano SCHMID,27.4
ALG V AUT,Austria,20,Konrad LAIMER,31.5
ALG V AUT,Austria,24,Paul WANNER,27.7
ARG V ALG,Algeria,2,Aissa MANDI,29.5
ARG V ALG,Algeria,6,Ramiz ZERROUKI,25.3
ARG V ALG,Algeria,7,Riyad MAHREZ,30.3
ARG V ALG,Algeria,8,Houssem AOUAR,31.5
ARG V ALG,Algeria,9,Amine GOUIRI,26.2
ARG V ALG,Algeria,10,Fares CHAIBI,32.7
ARG V ALG,Algeria,11,Anis HADJ MOUSSA,28.7
ARG V ALG,Algeria,14,Hicham BOUDAOUI,29.6
ARG V ALG,Algeria,15,Rayan AIT,29.3
ARG V ALG,Algeria,17,Rafik BELGHALI,33.0
ARG V ALG,Algeria,18,Mohamed AMOURA,29.0
ARG V ALG,Algeria,19,Nabil BENTALEB,30.9
ARG V ALG,Algeria,20,Adil BOULBINA,24.6
ARG V ALG,Algeria,21,Ramy BENSEBAINI,29.8
ARG V ALG,Algeria,22,Ibrahim MAZA,28.4
ARG V ALG,Algeria,23,Luca ZIDANE,22.0
ARG V ALG,Argentina,4,Gonzalo MONTIEL,31.3
ARG V ALG,Argentina,6,Lisandro MARTINEZ,27.8
ARG V ALG,Argentina,7,Rodrigo DE PAUL,30.9
ARG V ALG,Argentina,9,Julian ALVAREZ,29.9
ARG V ALG,Argentina,10,Lionel MESSI,29.4
ARG V ALG,Argentina,13,Cristian ROMERO,29.9
ARG V ALG,Argentina,15,Nico GONZALEZ,33.4
ARG V ALG,Argentina,16,Thiago ALMADA,29.9
ARG V ALG,Argentina,18,Nico PAZ,30.0
ARG V ALG,Argentina,19,Nicolas OTAMENDI,26.2
ARG V ALG,Argentina,20,Alexis MAC ALLISTER,27.9
ARG V ALG,Argentina,22,Lautaro MARTINEZ,30.4
ARG V ALG,Argentina,23,Emiliano MARTINEZ,21.3
ARG V ALG,Argentina,24,Enzo FERNANDEZ,30.5
ARG V ALG,Argentina,25,Facundo MEDINA,31.2
ARG V ALG,Argentina,26,Nahuel MOLINA,33.7
ARG V AUT,Argentina,3,Nicolas TAGLIAFICO,28.6
ARG V AUT,Argentina,5,Leandro PAREDES,29.3
ARG V AUT,Argentina,6,Lisandro MARTINEZ,29.7
ARG V AUT,Argentina,7,Rodrigo DE PAUL,31.8
ARG V AUT,Argentina,9,Julian ALVAREZ,33.6
ARG V AUT,Argentina,10,Lionel MESSI,29.7
ARG V AUT,Argentina,13,Cristian ROMERO,27.7
ARG V AUT,Argentina,15,Nico GONZALEZ,32.1
ARG V AUT,Argentina,16,Thiago ALMADA,31.3
ARG V AUT,Argentina,19,Nicolas OTAMENDI,28.8
ARG V AUT,Argentina,20,Alexis MAC ALLISTER,28.6
ARG V AUT,Argentina,22,Lautaro MARTINEZ,29.1
ARG V AUT,Argentina,23,Emiliano MARTINEZ,20.2
ARG V AUT,Argentina,24,Enzo FERNANDEZ,31.3
ARG V AUT,Argentina,25,Facundo MEDINA,32.3
ARG V AUT,Argentina,26,Nahuel MOLINA,32.6
ARG V AUT,Austria,1,Alexander SCHLAGER,24.4
ARG V AUT,Austria,3,Kevin DANSO,31.8
ARG V AUT,Austria,4,Xaver SCHLAGER,32.7
ARG V AUT,Austria,5,Stefan POSCH,30.8
ARG V AUT,Austria,6,Nicolas SEIWALD,31.9
ARG V AUT,Austria,7,Marko ARNAUTOVIC,25.9
ARG V AUT,Austria,8,David ALABA,28.1
ARG V AUT,Austria,9,Marcel SABITZER,31.6
ARG V AUT,Austria,11,Michael GREGORITSCH,28.0
ARG V AUT,Austria,17,Carney CHUKWUEMEKA,30.7
ARG V AUT,Austria,18,Romano SCHMID,31.2
ARG V AUT,Austria,20,Konrad LAIMER,34.0
ARG V AUT,Austria,21,Patrick WIMMER,31.5
ARG V AUT,Austria,22,Alexander PRASS,31.0
ARG V AUT,Austria,23,Marco FRIEDL,29.5
ARG V AUT,Austria,24,Paul WANNER,28.1
AUS V TUR,Australia,3,Alessandro CIRCATI,27.0
AUS V TUR,Australia,4,Jacob ITALIANO,32.8
AUS V TUR,Australia,5,Jordan BOS,36.7
AUS V TUR,Australia,6,Jason GERIA,29.5
AUS V TUR,Australia,8,Connor METCALFE,29.5
AUS V TUR,Australia,9,Mohamed TOURE,35.8
AUS V TUR,Australia,13,Aiden ONEILL,32.8
AUS V TUR,Australia,16,Aziz BEHICH,31.2
AUS V TUR,Australia,17,Nestory IRANKUNDA,33.6
AUS V TUR,Australia,18,Patrick BEACH,24.0
AUS V TUR,Australia,19,Harry SOUTTAR,28.2
AUS V TUR,Australia,21,Cameron BURGESS,34.2
AUS V TUR,Australia,22,Jackson IRVINE,26.9
AUS V TUR,Australia,23,Nishan VELUPILLAY,31.1
AUS V TUR,Australia,24,Paul OKON,29.9
AUS V TUR,Australia,26,Tete YENGI,31.6
AUS V TUR,Türkiye,2,Zeki CELIK,34.7
AUS V TUR,Türkiye,3,Merih DEMIRAL,33.8
AUS V TUR,Türkiye,5,Salih OZCAN,28.3
AUS V TUR,Türkiye,6,Orkun KOKCU,29.2
AUS V TUR,Türkiye,7,Kerem AKTURKOGLU,31.4
AUS V TUR,Türkiye,8,Arda GULER,28.7
AUS V TUR,Türkiye,9,Deniz GUL,25.8
AUS V TUR,Türkiye,10,Hakan CALHANOGLU,29.2
AUS V TUR,Türkiye,11,Kenan YILDIZ,28.1
AUS V TUR,Türkiye,14,Abdulkerim BARDAKCI,28.4
AUS V TUR,Türkiye,16,Ismail YUKSEK,32.3
AUS V TUR,Türkiye,18,Mert MULDUR,31.2
AUS V TUR,Türkiye,19,Yunus AKGUN,31.7
AUS V TUR,Türkiye,20,Ferdi KADIOGLU,32.1
AUS V TUR,Türkiye,21,Baris Alper YILMAZ,34.3
AUS V TUR,Türkiye,23,Ugurcan CAKIR,28.0
AUT V JOR,Austria,1,Alexander SCHLAGER,30.1
AUT V JOR,Austria,3,Kevin DANSO,29.7
AUT V JOR,Austria,4,Xaver SCHLAGER,27.0
AUT V JOR,Austria,5,Stefan POSCH,32.4
AUT V JOR,Austria,6,Nicolas SEIWALD,32.7
AUT V JOR,Austria,7,Marko ARNAUTOVIC,28.8
AUT V JOR,Austria,8,David ALABA,31.2
AUT V JOR,Austria,9,Marcel SABITZER,33.6
AUT V JOR,Austria,14,Sasa KALAJDZIC,29.5
AUT V JOR,Austria,15,Philipp LIENHART,32.1
AUT V JOR,Austria,16,Phillip MWENE,30.8
AUT V JOR,Austria,17,Carney CHUKWUEMEKA,29.4
AUT V JOR,Austria,18,Romano SCHMID,32.5
AUT V JOR,Austria,20,Konrad LAIMER,34.1
AUT V JOR,Austria,21,Patrick WIMMER,30.3
AUT V JOR,Austria,24,Paul WANNER,27.9
AUT V JOR,Jordan,1,YAZEED ABULAILA,19.8
AUT V JOR,Jordan,3,ABDALLAH NASIB,29.2
AUT V JOR,Jordan,5,YAZAN ALARAB,32.4
AUT V JOR,Jordan,8,NOOR ALRAWABDEH,30.6
AUT V JOR,Jordan,9,ALI OLWAN,32.7
AUT V JOR,Jordan,10,MOUSA ALTAMARI,34.0
AUT V JOR,Jordan,11,ODEH FAKHOURY,34.5
AUT V JOR,Jordan,13,MAHMOUD ALMARDI,27.5
AUT V JOR,Jordan,16,MOHAMMAD ABUALNADI,31.2
AUT V JOR,Jordan,17,SALEEM OBAID,26.7
AUT V JOR,Jordan,19,SAED ALROSAN,31.0
AUT V JOR,Jordan,20,MOHANNAD ABUTAHA,31.2
AUT V JOR,Jordan,21,NIZAR ALRASHDAN,29.6
AUT V JOR,Jordan,23,EHSAN HADDAD,29.9
AUT V JOR,Jordan,24,ALI AZAIZEH,30.0
AUT V JOR,Jordan,25,MOHAMMAD ALDAOUD,25.9
BEL V EGY,Belgium,1,Thibaut COURTOIS,26.6
BEL V EGY,Belgium,4,Brandon MECHELE,30.8
BEL V EGY,Belgium,5,Maxim DE CUYPER,32.9
