match,team,jersey,player,top_speed_kmh
MEX V RSA,Mexico,1,Raul RANGEL,23.2
MEX V RSA,Mexico,3,Cesar MONTES,30.1
MEX V RSA,Mexico,5,Johan VASQUEZ,27.9
MEX V RSA,Mexico,6,Erik LIRA,31.4
MEX V RSA,Mexico,8,Alvaro FIDALGO,30.8
MEX V RSA,Mexico,9,Raul JIMENEZ,33.3
MEX V RSA,Mexico,15,Israel REYES,30.0
MEX V RSA,Mexico,16,Julian QUINONES,32.9
MEX V RSA,Mexico,23,Jesus GALLARDO,30.3
MEX V RSA,Mexico,25,Roberto ALVARADO,32.2
MEX V RSA,Mexico,26,Brian GUTIERREZ,31.7
MEX V RSA,Mexico,4,Edson ALVAREZ,31.5
MEX V RSA,Mexico,10,Alexis VEGA,28.0
MEX V RSA,Mexico,14,Armando GONZALEZ,32.0
MEX V RSA,Mexico,19,Gilberto MORA,27.1
MEX V RSA,Mexico,24,Luis CHAVEZ,27.1
MEX V RSA,South Africa,1,Ronwen WILLIAMS,23.6
MEX V RSA,South Africa,4,Teboho MOKOENA,31.4
MEX V RSA,South Africa,6,Aubrey MODIBA,27.8
MEX V RSA,South Africa,9,Lyle FOSTER,31.2
MEX V RSA,South Africa,13,Sphephelo SITHOLE,31.2
MEX V RSA,South Africa,14,Mbekezeli MBOKAZI,31.5
MEX V RSA,South Africa,15,Iqraam RAYNERS,34.1
MEX V RSA,South Africa,19,Nkosinathi SIBISI,29.9
MEX V RSA,South Africa,20,Khuliso MUDAU,33.3
MEX V RSA,South Africa,21,Ime OKON,31.6
MEX V RSA,South Africa,23,Jayden ADAMS,27.8
MEX V RSA,South Africa,5,Thalente MBATHA,34.4
MEX V RSA,South Africa,7,Oswin APPOLLIS,29.9
MEX V RSA,South Africa,11,Themba ZWANE,27.4
MEX V RSA,South Africa,17,Evidence MAKGOPA,32.4
KOR V CZE,Korea Republic,1,KIM Seunggyu,26.9
KOR V CZE,Korea Republic,2,LEE Hanbeom,30.1
KOR V CZE,Korea Republic,3,LEE Gihyuk,29.2
KOR V CZE,Korea Republic,4,KIM Minjae,31.9
KOR V CZE,Korea Republic,6,HWANG Inbeom,28.5
KOR V CZE,Korea Republic,7,SON Heungmin,35.2
KOR V CZE,Korea Republic,8,PAIK Seungho,29.3
KOR V CZE,Korea Republic,10,LEE Jaesung,29.2
KOR V CZE,Korea Republic,13,LEE Taeseok,31.9
KOR V CZE,Korea Republic,19,LEE Kangin,28.8
KOR V CZE,Korea Republic,22,SEOL Youngwoo,31.8
KOR V CZE,Korea Republic,11,HWANG Heechan,29.9
KOR V CZE,Korea Republic,16,PARK Jinseob,25.7
KOR V CZE,Korea Republic,18,OH Hyeongyu,29.1
KOR V CZE,Korea Republic,24,KIM Jingyu,29.6
KOR V CZE,Korea Republic,25,EOM Jisung,30.6
KOR V CZE,Czechia,1,Matej KOVAR,22.3
KOR V CZE,Czechia,4,Robin HRANAC,29.3
